11.1.1.0
#HEADER
ET_UserInputEvents
ET_UserInputEvents



#METADATA
FieldName,Timestamp,InputEventSource,Data,StimType
DataType,Double,String,String,String
Unit,millisecond,,,Stimulus type
Description,iMotions timestamp,Input source i.e. Mouse or API,Serialized data,Type of stimulus
Category,Timestamp,InputEvent,Data,Slide
#DATA
RowNumber,Timestamp,InputEventSource,Data,StimType
69,10421.1983,Mouse,Id:M;X:936;Y:567;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,TestImage
70,10445.005800000001,Mouse,Id:M;X:936;Y:567;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,TestImage
71,10460.989600000001,Mouse,Id:M;X:936;Y:567;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,TestImage
72,10668.786700000001,Mouse,Id:M;X:935;Y:574,TestImage
73,10693.0898,Mouse,Id:M;X:935;Y:614,TestImage
74,10716.8979,Mouse,Id:M;X:940;Y:660,TestImage
75,10741.202300000001,Mouse,Id:M;X:947;Y:732,TestImage
76,10765.0103,Mouse,Id:M;X:970;Y:803,TestImage
77,10788.823399999999,Mouse,Id:M;X:987;Y:868,TestImage
78,10813.1224,Mouse,Id:M;X:990;Y:894,TestImage
79,10836.931,Mouse,Id:M;X:990;Y:901,TestImage
80,10981.183000000001,Mouse,Id:M;X:990;Y:902,TestImage
81,11005.012500000001,Mouse,Id:M;X:990;Y:898,TestImage
82,11028.797200000001,Mouse,Id:M;X:988;Y:889,TestImage
83,11057.5941,Mouse,Id:M;X:986;Y:882,TestImage
84,11084.846799999999,Mouse,Id:M;X:984;Y:868,TestImage
85,11109.1489,Mouse,Id:M;X:984;Y:864,TestImage
86,11132.957399999999,Mouse,Id:M;X:984;Y:860,TestImage
87,11165.196900000001,Mouse,Id:M;X:983;Y:858,TestImage
88,11245.2183,Mouse,Id:M;X:983;Y:858;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,TestImage
89,11327.3187,Mouse,Id:M;X:983;Y:858;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,TestImage
90,14325.2629,Mouse,Id:M;X:983;Y:858;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,TestImage
91,14341.1355,Mouse,Id:M;X:983;Y:858;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,TestImage
92,14357.007,Mouse,Id:M;X:983;Y:858;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,TestImage
93,14364.942300000001,Mouse,Id:M;X:983;Y:858;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,TestImage
94,14380.8143,Mouse,Id:M;X:983;Y:858;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,TestImage
95,14397.1826,Mouse,Id:M;X:983;Y:858;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,TestImage
96,14717.151099999999,Mouse,Id:M;X:983;Y:856,TestImage
97,14740.9789,Mouse,Id:M;X:1010;Y:844,TestImage
98,14765.2646,Mouse,Id:M;X:1048;Y:825,TestImage
99,14789.1003,Mouse,Id:M;X:1080;Y:808,TestImage
100,14812.8791,Mouse,Id:M;X:1100;Y:794,TestImage
101,14837.1836,Mouse,Id:M;X:1116;Y:781,TestImage
102,14860.991599999999,Mouse,Id:M;X:1129;Y:761,TestImage
103,14884.822700000001,Mouse,Id:M;X:1135;Y:747,TestImage
104,14909.104300000001,Mouse,Id:M;X:1138;Y:740,TestImage
105,14932.935299999999,Mouse,Id:M;X:1139;Y:736,TestImage
106,14957.216399999999,Mouse,Id:M;X:1141;Y:731,TestImage
107,14981.0229,Mouse,Id:M;X:1141;Y:727,TestImage
108,15004.8331,Mouse,Id:M;X:1141;Y:725,TestImage
109,15029.1373,Mouse,Id:M;X:1142;Y:723,TestImage
110,15052.944100000001,Mouse,Id:M;X:1143;Y:722,TestImage
111,15077.247600000001,Mouse,Id:M;X:1144;Y:719,TestImage
112,15101.059600000001,Mouse,Id:M;X:1144;Y:717,TestImage
113,15124.864100000001,Mouse,Id:M;X:1145;Y:715,TestImage
114,15149.1679,Mouse,Id:M;X:1145;Y:714,TestImage
115,15180.9167,Mouse,Id:M;X:1145;Y:713,TestImage
116,15205.2158,Mouse,Id:M;X:1145;Y:712,TestImage
117,15229.0304,Mouse,Id:M;X:1145;Y:710,TestImage
118,15253.3038,Mouse,Id:M;X:1145;Y:709,TestImage
119,15277.1113,Mouse,Id:M;X:1146;Y:707,TestImage
120,15300.945400000001,Mouse,Id:M;X:1146;Y:706,TestImage
121,15365.0615,Mouse,Id:M;X:1146;Y:706;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,TestImage
122,15461.1733,Mouse,Id:M;X:1146;Y:706;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,TestImage
123,15573.306399999999,Mouse,Id:M;X:1146;Y:706,TestImage
124,15597.1433,Mouse,Id:M;X:1143;Y:706,TestImage
125,15620.9211,Mouse,Id:M;X:1142;Y:706,TestImage
126,15645.2255,Mouse,Id:M;X:1140;Y:706,TestImage
127,15765.279,Mouse,Id:M;X:1138;Y:707,TestImage
128,16349.0805,Mouse,Id:M;X:1137;Y:706,TestImage
129,16372.889999999999,Mouse,Id:M;X:1129;Y:689,TestImage
130,16397.193500000001,Mouse,Id:M;X:1117;Y:660,TestImage
131,16424.007300000001,Mouse,Id:M;X:1098;Y:615,TestImage
132,16444.8102,Mouse,Id:M;X:1084;Y:570,TestImage
133,16469.1145,Mouse,Id:M;X:1067;Y:521,TestImage
134,16492.921399999999,Mouse,Id:M;X:1058;Y:482,TestImage
135,16517.2255,Mouse,Id:M;X:1050;Y:452,TestImage
136,16541.034899999999,Mouse,Id:M;X:1044;Y:435,TestImage
137,16564.865300000001,Mouse,Id:M;X:1041;Y:429,TestImage
138,16597.082600000002,Mouse,Id:M;X:1039;Y:426,TestImage
139,16821.273300000001,Mouse,Id:M;X:1039;Y:426;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,TestImage
140,16893.249100000001,Mouse,Id:M;X:1039;Y:426;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,TestImage
141,16988.977200000001,Mouse,Id:M;X:1038;Y:426,TestImage
142,17013.280599999998,Mouse,Id:M;X:1038;Y:426,TestImage
143,17037.1188,Mouse,Id:M;X:1037;Y:426,TestImage
144,17060.939600000002,Mouse,Id:M;X:1036;Y:427,TestImage
145,17085.2012,Mouse,Id:M;X:1030;Y:430,TestImage
146,17109.009399999999,Mouse,Id:M;X:1023;Y:433,TestImage
147,17133.313399999999,Mouse,Id:M;X:1014;Y:439,TestImage
148,17157.1214,Mouse,Id:M;X:1005;Y:445,TestImage
149,17180.929899999999,Mouse,Id:M;X:997;Y:452,TestImage
150,17205.2336,Mouse,Id:M;X:990;Y:459,TestImage
151,17229.002899999999,Mouse,Id:M;X:983;Y:467,TestImage
152,17252.863600000001,Mouse,Id:M;X:975;Y:475,TestImage
153,17277.2065,Mouse,Id:M;X:968;Y:483,TestImage
154,17301.111199999999,Mouse,Id:M;X:959;Y:495,TestImage
155,17324.978999999999,Mouse,Id:M;X:948;Y:507,TestImage
156,17348.758600000001,Mouse,Id:M;X:933;Y:522,TestImage
157,17373.064399999999,Mouse,Id:M;X:916;Y:540,TestImage
158,17396.871200000001,Mouse,Id:M;X:895;Y:558,TestImage
159,17421.175200000001,Mouse,Id:M;X:876;Y:578,TestImage
160,17444.982899999999,Mouse,Id:M;X:853;Y:600,TestImage
161,17468.824799999999,Mouse,Id:M;X:829;Y:621,TestImage
162,17493.006700000002,Mouse,Id:M;X:810;Y:636,TestImage
163,17516.937900000001,Mouse,Id:M;X:789;Y:650,TestImage
164,17541.218400000002,Mouse,Id:M;X:777;Y:655,TestImage
165,17629.010999999999,Mouse,Id:M;X:771;Y:658,TestImage
166,17652.842700000001,Mouse,Id:M;X:770;Y:659,TestImage
167,17677.123800000001,Mouse,Id:M;X:768;Y:662,TestImage
168,17772.850900000001,Mouse,Id:M;X:767;Y:664,TestImage
169,17796.919099999999,Mouse,Id:M;X:766;Y:666,TestImage
170,17821.199799999999,Mouse,Id:M;X:764;Y:670,TestImage
171,17845.006700000002,Mouse,Id:M;X:762;Y:676,TestImage
172,17868.814699999999,Mouse,Id:M;X:760;Y:685,TestImage
173,17893.123800000001,Mouse,Id:M;X:760;Y:695,TestImage
174,17916.931799999998,Mouse,Id:M;X:760;Y:702,TestImage
175,17940.8256,Mouse,Id:M;X:759;Y:710,TestImage
176,17965.076300000001,Mouse,Id:M;X:759;Y:716,TestImage
177,17988.8851,Mouse,Id:M;X:759;Y:721,TestImage
178,18013.206200000001,Mouse,Id:M;X:759;Y:724,TestImage
179,18036.996599999999,Mouse,Id:M;X:759;Y:727,TestImage
180,18060.832999999999,Mouse,Id:M;X:759;Y:730,TestImage
181,18085.109,Mouse,Id:M;X:759;Y:732,TestImage
182,18117.0164,Mouse,Id:M;X:759;Y:733,TestImage
183,18140.793600000001,Mouse,Id:M;X:758;Y:735,TestImage
184,18333.241699999999,Mouse,Id:M;X:758;Y:736,TestImage
185,18357.050599999999,Mouse,Id:M;X:758;Y:737,TestImage
186,18397.226600000002,Mouse,Id:M;X:758;Y:737;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,TestImage
187,18517.1924,Mouse,Id:M;X:758;Y:737;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,TestImage
188,18677.290300000001,Mouse,Id:M;X:758;Y:737,TestImage
189,18700.888599999998,Mouse,Id:M;X:755;Y:737,TestImage
190,18733.149399999998,Mouse,Id:M;X:752;Y:736,TestImage
191,19166.022400000002,Keyboard,Id:K;KeyCode:160;Key:LShiftKey,TestImage
192,19526.688200000001,Keyboard,Id:K;KeyCode:65606;Key:Shift+F,TestImage
